# window centre latitude, window latitude radius, window centre longitude, window longitude radius, POSIX timestamp
38.0,10.0,284.0,10.0,1777680000
# Number of axes
3
# axis 1: pressures
31
1000.0,975.0,950.0,925.0,900.0,850.0,800.0,750.0,700.0,650.0,600.0,550.0,500.0,450.0,400.0,350.0,300.0,250.0,200.0,150.0,100.0,70.0,50.0,30.0,20.0,10.0,7.0,5.0,3.0,2.0,1.0
# axis 2: latitudes
41
28.00,28.50,29.00,29.50,30.00,30.50,31.00,31.50,32.00,32.50,33.00,33.50,34.00,34.50,35.00,35.50,36.00,36.50,37.00,37.50,38.00,38.50,39.00,39.50,40.00,40.50,41.00,41.50,42.00,42.50,43.00,43.50,44.00,44.50,45.00,45.50,46.00,46.50,47.00,47.50,48.00
# axis 3: longitudes
41
274.00,274.50,275.00,275.50,276.00,276.50,277.00,277.50,278.00,278.50,279.00,279.50,280.00,280.50,281.00,281.50,282.00,282.50,283.00,283.50,284.00,284.50,285.00,285.50,286.00,286.50,287.00,287.50,288.00,288.50,289.00,289.50,290.00,290.50,291.00,291.50,292.00,292.50,293.00,293.50,294.00
# number of lines of data
52111
# data line component count
3
# now the data in axis 3 major order
# data is: geopotential height [gpm], u-component wind [m/s], v-component wind [m/s]
131.80945,1.29783,-5.62675
129.69745,1.47783,-6.76675
129.48944,2.67783,-8.17675
124.46544,2.85783,-8.88675
124.35344,4.21783,-8.83675
115.18544,0.06783,-2.94675
108.84944,1.30783,-1.78675
106.41744,0.53783,-1.46675
110.25744,0.63783,-0.50675
108.56144,1.06783,-0.81675
107.34544,1.16783,-1.17675
104.38544,0.75783,0.37325
100.70544,0.30783,1.44325
100.27345,0.64783,1.76325
102.59344,-0.39217,1.87325
102.89744,-0.46217,1.87325
106.70544,0.28783,1.33325
105.90544,0.00783,0.89325
105.72944,0.78783,0.68325
108.92944,-1.53217,2.48325
109.92144,-1.57217,2.61325
113.69744,-1.34217,4.01325
116.19344,-2.28217,3.23325
115.79344,-4.37217,1.69325
118.12944,-5.26217,1.39325
119.88944,-5.50217,0.49325
121.24944,-5.05217,1.03325
123.13744,-5.01217,2.11325
125.28144,-4.75217,2.48325
126.40144,-4.47217,1.52325
128.62544,-3.75217,0.76325
128.33745,-3.63217,0.05325
128.65744,-2.90217,-0.98675
130.44945,-1.76217,-2.33675
130.56145,-0.42217,-3.01675
132.03345,1.54783,-2.89675
131.36143,2.46783,-1.68675
132.94543,2.81783,-1.26675
132.38544,2.74783,-1.69675
133.02544,2.91783,-2.61675
131.13744,2.65783,-3.81675
130.65744,2.74783,-4.51675
128.01744,2.45783,-5.98675
128.16144,3.59783,-7.63675
125.76144,4.23783,-9.15675
123.66544,5.04783,-9.69675
121.74544,-0.21217,-5.01675
119.31344,1.10783,-3.35675
112.99344,1.71783,-3.75675
111.13744,2.00783,-3.57675
111.90544,1.08783,0.48325
110.67344,1.19783,-0.59675
105.18544,0.64783,-0.64675
104.08144,0.10783,-1.42675
100.48144,0.07783,1.52325
101.45744,0.18783,1.33325
101.79344,0.66783,1.73325
106.78544,-1.46217,2.64325
108.65744,0.02783,1.33325
107.39344,-0.59217,0.19325
109.34544,-1.25217,-0.96675
111.61744,0.98783,-2.13675
114.86544,-1.26217,-0.58675
115.68144,-1.22217,0.68325
117.76144,-4.72217,3.93325
120.46544,-4.60217,3.18325
122.11344,-4.59217,2.04325
125.20144,-3.81217,0.75325
127.00945,-2.68217,0.49325
126.20944,-3.20217,2.49325
125.84144,-3.28217,2.13325
128.44945,-2.12217,1.44325
